variant,total_return,cagr,annual_vol,sharpe,max_drawdown,avg_turnover,cycles
alpha_only_quality_profitability,-0.02337520321746911,-0.3279119883672932,0.03803821213671243,-10.419206663694895,-0.021421356086231857,0.14355226666666668,15.0
alpha_only_volume_liquidity_shock,-0.02184587033382024,-0.31001044056176785,0.03242308462209034,-11.420239470756085,-0.019897481841746556,0.12286960000000001,15.0
alpha_only_block_deals,-0.02548618087787069,-0.35190535357153474,0.0372163703023015,-11.625301031591537,-0.023367472471400252,0.15650839999999996,15.0
alpha_only_analyst_revisions,-0.027380710775331885,-0.3727504530265967,0.03842687414104092,-12.107137067099096,-0.025538283060677514,0.14966393333333333,15.0
alpha_only_options_iv_term_structure,-0.026809186713782074,-0.3665294773812259,0.03569570563868021,-12.760361681861816,-0.024859162559706327,0.14095006666666662,15.0
full,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
no_alpha_pipeline,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
no_microstructure,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
no_research_council,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
alpha_only_earnings_momentum,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
no_event_driven,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
core_strategies_only,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
no_private_alpha,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
alpha_only_short_interest,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
alpha_only_pead_signal,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
no_quality_profitability,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
no_pead_signal,-0.026686764785515127,-0.3651894040879422,0.0351691274000229,-12.891968265035763,-0.02452760218036587,0.14646280000000003,15.0
