,SPY,QQQ,IWM,TLT,GLD
2020-07-06,0.0025992914427513457,-0.15259929144275133,-0.006117015097016754,-0.028487815988962332,0.1846048310859791
2020-07-13,0.00028011303345313655,-0.15028011303345315,-0.03493956080027419,-0.006841924541380253,0.19178148534165446
2020-07-20,0.006322968509429227,-0.09941363830193031,-0.09286696850942922,-0.010880989505552597,0.19657362780748291
2020-07-27,0.0,-0.063721,-0.136544,0.0,0.2
2020-08-03,-0.007885893380373243,-0.015375378166581702,-0.10251952728442175,0.098432420664795,0.027189378166581717
2020-08-10,-0.002739662841544776,-0.0469961033060018,-0.042193274545241015,0.08146476614754658,0.010305274545241024
2020-08-17,0.01720079121144344,0.004512040596242559,-0.111593831807686,0.09171867848759191,-0.0216976784875919
2020-08-24,0.000747136618960899,0.03537667761385138,-0.1620756955095688,0.12409718576718771,-0.018005304490431202
2020-08-31,0.019243506628397265,-0.09208836591587957,-0.03007014071251769,0.10135725447148772,-0.0037452544714877203
2020-09-08,0.0,-0.117909,-0.035006,0.147559,5.3e-05
2020-09-15,0.0,0.06772,-0.019457,0.082016,-0.133226
2020-09-22,0.0,0.06772,-0.019457,0.082016,-0.133226
2020-09-29,0.0,0.037041,-0.019457,-0.091046,0.063035
2020-10-06,0.005219408176661335,0.035625141436023446,0.022782500501337028,-0.13963014143602345,0.06557609132200162
2020-10-13,0.0,-0.161218,-0.019457,-0.037489,0.202426
2020-10-20,0.0,-0.161218,-0.019457,-0.037489,0.202426
2020-10-27,0.0,-0.062657,-0.090892,0.06876,0.078672
2020-11-03,0.0,-0.062657,-0.090892,0.06876,0.078672
2020-11-10,0.0,0.098348,-0.05054,0.038233,-0.089443
2020-11-17,0.0,0.098348,-0.05054,0.038233,-0.089443
2020-11-24,0.0,0.04762,-0.179213,0.018512,0.111434
2020-12-02,0.0,0.04762,-0.179213,0.018512,0.111434
2020-12-09,0.0,0.019608,-0.250264,0.018512,0.222355
2020-12-16,0.0,0.019608,-0.250264,0.018512,0.222355
2020-12-23,-0.017657031266835838,0.035299595091664915,-0.15941659509166492,0.10452911105302864,0.0541709202138072
2020-12-31,0.01206093005004508,0.025033083265963273,-0.21285954995121564,0.09672254995121564,0.09596898668399165
2021-01-08,0.007048313383862892,0.015566226652561492,-0.1507733133838629,0.11833122922246603,0.018092544124972482
2021-01-15,0.002465081850605738,0.021407563320684008,-0.14798964517128976,0.15396086032591022,-0.02157886032591022
2021-01-25,0.004228722964742882,0.06537927703525712,-0.19453190656293257,0.13602673331469686,-0.002837826751764347
2021-02-01,0.0,0.019608,-0.193725,0.163704,0.018678
2021-02-08,0.13099079030630564,0.016339261890840034,-0.09400105219714566,0.058887821810066215,0.10726917818993378
2021-02-16,0.1269256211414183,0.01738831009803695,-0.09098493123945527,0.0501203993702545,0.1160366006297455
2021-02-23,0.0625629180252579,-0.019998447942826368,-0.20788323366279912,0.18490644794282635,0.07261131563754121
2021-03-02,0.06532834414052124,0.014243309184519791,-0.202848653325041,0.2040399182602041,0.011436081739795913
2021-03-09,0.020533,0.176218,-0.268993,0.088306,0.022374
2021-03-16,0.025947138722678738,0.19190919885779997,-0.24009833758047866,0.046827535566114145,0.013852464433885865
2021-03-23,0.020533,0.030276,-0.119849,0.088306,0.022374
2021-03-30,0.020533,0.030276,-0.119849,0.088306,0.022374
2021-04-07,0.020533,-0.127292,0.080453,0.046177,0.022374
2021-04-14,0.020533,-0.127292,0.080453,0.046177,0.022374
2021-04-21,0.020533,-0.228885,0.209598,0.019014,0.022374
2021-04-28,0.020533,-0.228885,0.209598,0.019014,0.022374
2021-05-05,0.020533,-0.141008,0.129126,0.126894,-0.101397
2021-05-12,0.020533,-0.141008,0.129126,0.126894,-0.101397
2021-05-19,0.020533,0.055951,0.071457,0.070222,-0.190095
2021-05-26,0.020533,0.055951,0.071457,0.070222,-0.190095
2021-06-03,0.17774656090728244,0.0091634969931027,0.07675931556332947,-3.1057900385145915e-05,-0.25208131556332947
2021-06-10,0.184925,0.023039,0.029423,0.028915,-0.254745
2021-06-17,0.115736,0.023039,-0.09383,0.028915,-0.047188
2021-06-24,0.115736,0.023039,-0.09383,0.028915,-0.047188
2021-07-01,0.063116,-0.123832,-0.05117,0.028915,0.110662
2021-07-09,0.063116,-0.123832,-0.05117,0.028915,0.110662
2021-07-16,0.037294,-0.073169,0.092503,-0.105653,0.065387
2021-07-23,0.037294,-0.073169,0.092503,-0.105653,0.065387
2021-07-30,0.01521,-0.029842,0.181769,-0.043091,-0.117374
2021-08-06,0.01521,-0.029842,0.181769,-0.043091,-0.117374
2021-08-13,0.01521,-0.029842,-0.022753,-0.024798,0.059811
2021-08-20,0.01521,-0.029842,-0.022753,-0.024798,0.059811
2021-08-27,0.020182091003943945,-0.1731873438748358,0.19655925287089188,-0.06227396939867948,0.012103969398679477
2021-09-03,0.013401822203666772,-0.18002014510367398,0.20836414510367396,-0.049826486168324816,0.0014646639646580355
